Pueblo Community College,PCC,pueblocc.edu
University of Pennsylvania,Penn,upenn.edu
University of Pittsburgh,Pitt,pitt.edu
Point Loma Nazarene University,PLNU,pointloma.edu
Pomona College,POM,pomona.edu
Pennsylvania State University,PSU,psu.edu
Portland State University,PSU,pdx.edu
Plymouth State University,PSU,plymouth.edu
Princeton Theological Seminary,PTS,ptsem.edu
Prairie View A&M University,PVAMU,pvamu.edu
Quinnipiac University,QU,qu.edu
Case Western Reserve University,Reserve,case.edu
Rose-Hulman Institute of Technology,RHIT,rose-hulman.edu
Rhode Island College,RIC,ric.edu
Rhode Island School of Design,RISD,risd.edu
Rochester Institute of Technology,RIT,rit.edu
Randolph-Macon Woman's College,R-MWC,randolphcollege.edu
Rensselaer Polytechnic Institute,RPI,rpi.edu
Rutgers University,RU,rutgers.edu
Roger Williams University,RWU,rwu.edu
Roberts Wesleyan College,RWC,roberts.edu
"California State University, Sacramento",Sacramento State / Sac State,csus.edu
St. Bonaventure University,SBU,sbu.edu
University of Southern California,SC,usc.edu
University of South Carolina,SC,sc.edu
South Carolina State University,SCSU,scsu.edu
Southern Connecticut State University,SCSU,southernct.edu
Scripps College,Scripps,scrippscollege.edu
Scripps Institution of Oceanography,Scripps,scripps.ucsd.edu
Santa Clara University,SCU,scu.edu
South Dakota School of Mines and Technology,SDSM&T,sdsmt.edu
South Dakota State University,SDSU,sdstate.edu
San Diego State University,SDSU,sdsu.edu
San Francisco State University,SFSU,sfsu.edu
Southeast Missouri State University,SEMo,semo.edu
Sewanee: The University of the South,Sewanee,sewanee.edu
Spring Hill College,SHC,shc.edu
Southern Illinois University Carbondale,SIU,SIUC,siu.edu
Southern Illinois University Edwardsville,SIUE,siue.edu
St. John's College (Annapolis/Santa Fe),SJC,sjc.edu
St. John Fisher College,SJFC,sjfc.edu
San Jose State University,SJSU,sjsu.edu
Saint Joseph's University,SJU,sju.edu
St. John's University (New York),SJU,stjohns.edu
Saint Louis University,SLU,slu.edu
St. Lawrence University,SLU,stlawu.edu
Saint Leo University,SLU,saintleo.edu
Saint Mary's College of California,SMC,stmarys-ca.edu
Southern Methodist University,SMU,smu.edu
Southern New Hampshire University,SNHU,snhu.edu
Southeastern Oklahoma State University,SOSU,se.edu
Seattle Pacific University,SPU,spu.edu
Slippery Rock University of Pennsylvania,SRU,sru.edu
"California State University, Stanislaus",Stanislaus State,Stan State,csustan.edu
Savannah State University,SSU,savannahstate.edu
