Clarkson University,Golden Knights,Potsdam,clarkson.edu
Clarke University,Pride,clarke.edu
Clearwater Christian College,Clearwater,clearwater.edu
Clemson University,Tigers,Clemson,clemson.edu
Cleveland State University,Vikings,Cleveland,csuohio.edu
Coastal Carolina University,Chanticleers,Conway,coastal.edu
Coe College,Kohawks,Cedar Rapids,coe.edu
Coker College,Cobras,Hartsville,coker.edu
Colby College,Mules,Waterville,colby.edu
Colgate University,Raiders,Hamilton Village,colgate.edu
University of Colorado at Boulder,Buffaloes,Boulder,colorado.edu
University of Colorado at Colorado Springs,Mountain Lions,Colorado Springs,uccs.edu
Colorado College,Tigers,Colorado Springs,coloradocollege.edu
Colorado Mesa University,Mavericks,Grand Junction,coloradomesa.edu
Colorado School of Mines,Orediggers,Golden,mines.edu
Colorado State University,Rams,Fort Collins,colostate.edu
Colorado State University-Pueblo,ThunderWolves,Pueblo,csupueblo.edu
Columbia College (Missouri),Cougars,Columbia,ccis.edu
Columbia University,Lions,New York,columbia.edu
Concord University,Mountain Lions,Athens,concord.edu
"Concordia College, Moorhead",Cobbers,Moorhead,cord.edu
"Concordia College, Selma",Hornets,Selma,ccal.edu
"Concordia College, New York",Clippers,Bronxville,concordia-ny.edu
"Concordia University, Ann Arbor",Cardinals,Ann Arbor,cuaa.edu
Concordia University Chicago,CUC,Concordia-Chicago,CUChicago,River Forest,cuchicago.edu
"Concordia University, Irvine",Irvine,CUI.edu
"Concordia University, Nebraska",Seward,cune.edu
"Concordia University, Portland",Cavaliers,Portland,cu-portland.edu
"Concordia University, Saint Paul",St. Paul,csp.edu
Concordia University Texas,Austin,concordia.edu
Concordia University Wisconsin,Falcons,Mequon,cuw.edu
University of Connecticut,Huskies,Storrs,uconn.edu
Connecticut College,New London,conncoll.edu
Coppin State University,Eagles,Baltimore,coppin.edu
Cornell University,Big Red,Ithaca,cornell.edu
Cornerstone University,Grand Rapids,cornerstone.edu
Creighton University,Bluejays,Omaha,creighton.edu
Culver-Stockton College,Canton,culver.edu
Cumberland University,Phoenix,Lebanon,cumberland.edu
University of the Cumberlands,Williamsburg,University of the Cumberlands
Dallas Baptist University,Patriots,Dallas,dbu.edu
Dakota State University,Trojans,Lady T's,Madison,dsu.edu
Dana College,Blair,dana.edu
Dartmouth College,Big Green,Hanover,dartmouth.edu
Davis and Elkins College,Senators,Elkins,dewv.edu
Davenport University,Panthers,davenport.edu
Davidson College,Wildcats,Davidson,davidson.edu
University of Dayton,Flyers,Dayton,udayton.edu
Daytona State College,Daytona Beach,daytonastate.edu
Defiance College,Yellow Jackets,Lady Jackets,Defiance,defiance.edu
DePaul University,Blue Demons,Chicago,depaul.edu
DePauw University,Tigers,Greencastle,depauw.edu
Delaware Fightin' Blue Hens,The Blue Hens,Newark,bluehens.com
Delaware State University,Hornets,Dover,desu.edu
Delaware Valley University,Aggies,Doylestown,delval.edu
Delta State University,Statesmen,Lady Statesmen,Cleveland,deltastate.edu
Denison University,Big Red,Granville,denison.edu
University of Denver,Pioneers,Denver,du.edu
DeSales University,Bulldogs,Center Valley,desales.edu
University of Detroit Mercy,Titans,Detroit,udmercy.edu
Dickinson College,Red Devils,Carlisle,dickinson.edu
University of the District of Columbia,Firebirds,Washington,udc.edu
Doane College,Tigers,Crete,doane.edu
Dordt College,Defenders,Sioux Center,dordt.edu
Dowling College,The Golden Lions,Oakdale,dowling.edu
Drake University,Bulldogs,Des Moines,drake.edu
Drew University,Rangers,Madison,drew.edu
Drexel University,Dragons,Philadelphia,Drexel.edu
Duke University,Blue Devils,Durham,duke.edu
Duquesne University,Dukes,Pittsburgh,duq.edu
University of Dubuque,Spartans,dbq.edu
Earlham College,Quakers,Richmond,earlham.edu
Eastern Arizona College,Gila Monsters,Thatcher,eac.edu
East Carolina University,Pirates,Greenville,ecu.edu
East Los Angeles College,Monterey Park,elac.edu
East Stroudsburg University of Pennsylvania,Warriors,East Stroudsburg,esu.edu
East Tennessee State University,Buccaneers,Johnson City,etsu.edu
East Texas Baptist University,ETBU,Marshall,etbu.edu
Eastern Connecticut State University,Warriors,Willimantic,easternct.edu
Eastern Florida State College,Brevard County,easternflorida.edu
Eastern Illinois University,Panthers,Charleston,eiu.edu
Eastern Kentucky University,Richmond,eku.edu
Eastern Michigan University,Eagles,Ypsilanti,emich.edu
Eastern Nazarene College,Lions,Quincy,enc.edu
Eastern New Mexico University,Greyhounds,Portales,enmu.edu
Eastern University (United States),St. Davids,eastern.edu
Eastern Washington University,Eagles,Cheney,ewu.edu
Eckerd College,Tritons,St. Petersburg,eckerd.edu
Edinboro University of Pennsylvania,Fighting Scots,Edinboro,edinboro.edu
Edward Waters College,Tigers,Lady Tigers,Jacksonville,ewc.edu
El Paso Community College,Tejanos,Tejanas,El Paso,epcc.edu
Elon University,Phoenix,Elon,elon.edu
Embry-Riddle Aeronautical University,Eagles,Daytona Beach,erau.edu
Emory University,Eagles,Atlanta,emory.edu
Emporia State University,Hornets,Emporia,emporia.edu
Endicott College,Gulls,Beverly,endicott.edu
Erskine College,Flying Fleet,erskine.edu
Evangel University,Crusaders,evangel.edu
University of Evansville,Purple Aces,Evansville,evansville.edu
Evergreen State College,Geoducks,Olympia,evergreen.edu
Fairleigh Dickinson University,Knights,Devils,Florham Park,fdu.edu
Fairleigh Dickinson University,Knights,Devils,Florham Park,fdu.edu
Fairfield University,Stags,Fairfield,fairfield.edu
Fairmont State University,Fairmont,fairmontstate.edu
Faulkner University,Eagles,Montgomery,faulkner.edu
Ferris State University,Bulldogs,Big Rapids,Grand Rapids,ferris.edu
Felician College,Golden Falcons,Lodi,Rutherford,felician.edu
University of Findlay,Oilers,Findlay,findlay.edu
Finger Lakes Community College,Lakers, Hopewell,flcc.edu
Finlandia University,Lions,Hancock,finlandia.edu
Fisk University,Bulldogs,Nashville,fisk.edu
Fitchburg State,Falcons,Fitchburg,fitchburgstate.edu
Flagler College,Saints,St. Augustine,flagler.edu
University of Florida,Gators,Gainesville,ufl.edu
Florida A&M University,Rattlers,Lady Rattlers,Tallahassee,famu.edu
Florida Atlantic University,Owls,fau.edu
Florida International University,Panthers,University Park,fiu.edu
Florida College,Falcons,Temple Terrace,floridacollege.edu
Florida Institute of Technology,PanthersCountdown CollegeMissileman U,Melbourne,fit.edu
Florida Gulf Coast University,Eagles,Dunk City,fgcu.edu
Florida Memorial University,Miami Gardens,fmuniv.edu
Florida National University,Conquistadors,Hialeah,fnu.edu
Florida Southern,Moccasins,Lakeland,flsouthern.edu
Florida SouthWestern State College,The Buccaneers,Fort Myers,fsw.edu
Florida State College at Jacksonville,BlueWave,Jacksonville,fscj.edu
Florida State University,Seminoles,Tallahassee,fsu.edu
Fordham University,Rams,New York,fordham.edu
Fort Hays State University,Tigers,Hays,fhsu.edu
Fort Valley State University,Wildcats,Fort Valley,fvsu.edu
Francis Marion University,Patriots,Pats,Florence,fmarion.edu
Franklin University,Columbus,franklin.edu
Franklin and Marshall College,Diplomats,Lancaster,fandm.edu
Franklin College (Indiana),Grizzlies,Franklin,franklincollege.edu
Freed-Hardeman University,Lions,Henderson,fhu.edu
Friends University,Falcons,Wichita,friends.edu
Fresno Pacific University,Fresno Pacific Sunbirds www.fpuathletics.com,Fresno,fresno.edu fpuathletics.com
"California State University, Fresno",Bulldogs,Fresno,fresnostate.edu
Frostburg State University,Bobcats,Frostburg,frostburg.edu
Furman University,Paladins,Greenville,furman.edu
Geneva College,Golden Tornadoes,Beaver Falls,geneva.edu
Gannon University,Golden Knights,Erie,gannon.edu
Genesee Community College,Cougars,Batavia,genesee.edu
George Mason University,Patriots,Arlington,gmu.edu
George C. Wallace Community College,Dothan,wallace.edu
George Washington University,Colonials,Washington,gwu.edu
